"author","max(views)"
Sir Ken Robinson,72000000
Amy Cuddy,64000000
Tim Urban,60000000
Simon Sinek,57000000
Brené Brown,56000000
Julian Treasure,49000000
Sam Berns,43000000
Robert Waldinger,41000000
Cameron Russell,38000000
Graham Shaw,37000000
Tom Thum,34000000
Apollo Robbins,31000000
Susan Cain,30000000
Mel Robbins,28000000
Jon Ronson,27000000
Celeste Headlee,26000000
Angela Lee Duckworth,25000000
Alex Gendler,24000000
Hyeonseo Lee,23000000
Jeff Dekofsky,22000000
Michael Mauser,21000000
Helen M. Farrell,20000000
Adam Grant,19000000
Noah Zandan,18000000
Mia Nacamulli,17000000
Lera Boroditsky,16000000
Matt Walker,15000000
Krishna Sudhir,14000000
Johann Hari,13000000
Scott A. Mellor,12000000
Paul S. Kindstedt,11000000
Thomas L. Dawson,10000000
Steve Jobs,9900000
Murat Dalkilinç,9800000
Mike Rowe,9700000
Susan David,9600000
Dennis Shasha,9500000
David Dunning,9400000
Katie Hood,9300000
Adam Grant,9200000
Cal Newport,9100000
Karen J. Meech,9000000
Ruth Chang,8900000
Natalya St. Clair,8800000
Heba Shaheed,8700000
Bill Gates,8600000
Dr. Natascha M. Santos,8500000
Alexander Tsiaras,8400000
Amy Adkins,8300000
Emilie Wapnick,8199999
Dalia Mogahed,8100000
Justin Baldoni,8000000
Allan Savory,7900000
Tabetha Boyajian,7800000
Dan Ariely,7700000
Alex Gendler,7600000
Beau Lotto,7500000
Judy Grisel,7400000
Kid Cudi,7300000
Maurice Conti,7200000
John Doerr,7100000
Alex Rosenthal,7000000
Van Jones,6900000
Jessica Smith,6800000
Roman Mars,6700000
Joseph Gordon-Levitt,6600000
Brittany Packnett Cunningham,6500000
Iseult Gillespie,6400000
TED-Ed,6300000
Alison Ledgerwood,6200000
TED,6100000
Oliver Elfenbaum,6000000
Molly Wright,5900000
Daniel Finkel,5800000
Marc Fagelson,5700000
Katie Bouman,5600000
Matt Anticole,5500000
Elizabeth Cox,5400000
Baratunde Thurston,5300000
Lori Gottlieb,5200000
Shunan Teng,5100000
Lucy Hone,5000000
Alex Rosenthal and Pall Thordarson,4900000
Brian A. Pavlac,4800000
Rod Phillips,4700000
Nina G. Jablonski,4600000
Sabine Doebel,4500000
Iseult Gillespie,4400000
Sandeep Jauhar,4300000
Dan Finkel,4200000
Elizabeth Dunn,4099999
Walter R. Tschinkel,4000000
Sara C. Mednick,3900000
Dan Kwartler,3800000
Jonathan J. O'Sullivan and Grace E. Cunningham,3700000
Armand D'Angour,3600000
Canwen Xu,3500000
Thomas Lloyd,3400000
Shravan S K,3300000
Bill Burnett,3200000
Dan Katz,3100000
Cindy J. Aaronson,3000000
Jeannie Suk Gersen,2900000
Dan Kwartler,2800000
Jen Gunter,2700000
Ashley Whillans,2600000
Lucy Cooke,2500000
Yuko Munakata,2400000
Emma Bryce,2300000
Dan Finkel,2200000
Kayla Mandel Sheets,2100000
Wendy MacNaughton,2000000
Ruchi Sinha,1900000
Steven Johnson,1800000
Isha Datar,1700000
Andrea Vilallonga,1600000
Ann-Helén Bay,1500000
Shabana Basij-Rasikh,1400000
Doug MacKay,1300000
Steve Rothstein,1200000
Noah Charney,1100000
Candace Parker,1000000
Toby Eccles,999000
Iseult Gillespie,998000
Sarah Donnelly,996000
Todd Kuiken,994000
Laura Boushnak,993000
Warren Valdmanis,992000
Christina Greer,991000
Carl Schoonover,990000
Felice Belle and Jennifer Murphy,989000
Shyam Sankar,988000
Prosanta Chakrabarty,987000
Virginia Smith,986000
Jeffrey Kluger,985000
José Américano N L F de Freitas,984000
Seth Shostak,983000
Liz Ogbu,982000
Peachy Liv,981000
Afra Raymond,980000
Erricka Bridgeford,979000
Tasso Azevedo,978000
David Carson,977000
Ani Liu,976000
"Mwende ""FreeQuency"" Katwiwa",975000
Mia Nacamulli,974000
Noreena Hertz,973000
Sandi Toksvig,972000
Jane Chen,970000
Halla Tómasdóttir,969000
Rainn Wilson,968000
Wanda Diaz Merced,967000
Merve Emre,966000
Pawan Sinha,965000
Miwa Matreyek,964000
David Pogue,963000
Robert Hakiza,960000
Soraya Field Fiorio,958000
Enrique Peñalosa,957000
Jan Bill,955000
Michael Hansmeyer,954000
Kristen Marhaver,953000
Janet Iwasa,952000
Liu Thai Ker,951000
Sangeeta Bhatia,950000
Dennis E. Shasha,949000
Francis Collins,948000
Tommy McCall,947000
Andrea M. Henle,946000
Marc Pachter,944000
Far Flung with Saleem Reshamwala,943000
Ndidi Nwuneli,941000
Carlos Reif,936000
Alex Tabarrok,934000
Refik Anadol,933000
Roger Hanlon,932000
Walé Oyéjidé,929000
Ronald Sullivan,927000
Robert Gupta + Joshua Roman,926000
Michelle Brown,925000
Eduardo Paes,924000
Iseult Gillespie,923000
Natalie Warne,922000
Wanuri Kahiu,921000
Andrew McDonald,920000
Gerry Wright,919000
Robert Neuwirth,918000
Alessandra Orofino,917000
Catherine Bracy,916000
Philippa Neave,915000
Sitawa Wafula,914000
Danielle de Niese,912000
Julia Bacha,911000
Cesar Harada,910000
Ryan Gravel,908000
Yann Arthus-Bertrand,907000
Hannah Fry,906000
Edward Tenner,905000
Risa Wechsler,904000
Toni Griffin,903000
Karen Bass,902000
Georgette Mulheir,901000
Marjan van Aubel,900000
Sarah Montana,899000
Matt Walker,898000
Norman Foster,897000
Elizabeth Waters,896000
